Detector;Time;qPKW;vPKW
10522_E;0;200;64.368
10522_W;0;358;64.368
10653_E;0;72;100.008
10653_W;0;84;100.008
20504_E;0;1759;112.644
20504_W;0;2411;112.644
20636_N;0;1312;80.46
20636_S;0;1006;80.46
20654_N;0;761;48.276
20654_S;0;664;48.276
30505_W;0;1825;112.644
30522_N;0;302;64.368
30522_S;0;228;64.368
30523_E;0;768;48.276
30523_W;0;653;48.276
30553_N;0;996;48.276
30553_S;0;740;48.276
30657_E;0;623;48.276
30657_W;0;745;48.276
40504_E;0;1589;112.644
40504_W;0;1928;112.644
40522_E;0;285;64.368
40522_W;0;338;64.368
40637_E;0;792;100.008
40637_W;0;655;100.008
40638_N;0;637;48.276
40638_S;0;978;48.276
40658_N;0;786;48.276
40658_S;0;756;48.276
503_E;0;1714;112.644
503_W;0;2136;112.644
50554_N;0;966;80.46
50554_S;0;1003;80.46
50564_E;0;517;48.276
50564_W;0;656;48.276
50583_E;0;550;48.276
50583_W;0;456;48.276
50584_E;0;849;48.276
50584_W;0;1264;48.276
50594_E;0;398;48.276
50594_W;0;429;48.276
50596_E;0;853;48.276
50596_W;0;900;48.276
50599_E;0;635;64.368
50599_W;0;741;64.368
50625_N;0;1016;79.992
50639_E;0;581;96.552
50639_W;0;754;96.552
70060_N;0;253;100.008
70060_S;0;260;100.008
805035_E;0;238;100.008
805035_W;0;179;100.008
805119_E;0;189;79.992
805119_W;0;276;79.992
805246_E;0;60;79.992
805246_W;0;96;79.992
805247_N;0;147;50.004
805247_S;0;108;50.004
805248_N;0;9;50.004
805248_S;0;14;50.004
805249_N;0;122;50.004
805249_S;0;78;50.004
805632_N;0;82;48.276
805632_S;0;90;48.276
80626_E;0;248;48.276
80626_W;0;293;48.276
811678_N;0;12;50.004
811678_S;0;6;50.004
811686_N;0;291;100.008
811686_S;0;288;100.008
811707_E;0;196;79.992
811707_W;0;207;79.992
811737_N;0;35;50.004
811737_S;0;36;50.004
811741_E;0;29;48.276
811741_W;0;33;48.276
811764_E;0;296;100.008
811764_W;0;372;100.008
811796_N;0;366;79.992
811796_S;0;306;79.992
811838_E;0;238;48.276
811838_W;0;222;48.276
811881_N;0;201;48.276
811881_S;0;150;48.276
811899_E;0;52;48.276
811899_W;0;55;48.276
930156_N;0;307;48.276
930156_S;0;231;48.276
930157_E;0;67;100.008
930157_W;0;99;100.008
931793_N;0;128;50.004
931793_S;0;126;50.004
931794_E;0;101;48.276
931794_W;0;118;48.276
931795_E;0;415;79.992
931795_W;0;445;79.992
931796_E;0;212;32.184
931796_W;0;209;32.184
931797_E;0;99;32.184
931797_W;0;94;32.184
931798_E;0;95;50.004
931798_W;0;174;50.004
931799_E;0;290;79.992
931799_W;0;294;79.992
931800_N;0;30;32.184
931800_S;0;33;32.184
931801_N;0;122;79.992
931801_S;0;84;79.992
931802_N;0;154;79.992
931802_S;0;142;79.992
942313_E;0;39;48.276
942313_W;0;43;48.276
942314_N;0;66;48.276
942314_S;0;78;48.276
951040_N;0;172;100.008
951040_S;0;137;100.008
951041_E;0;166;64.368
951041_W;0;206;64.368
951042_E;0;272;64.368
951042_W;0;335;64.368
951043_N;0;513;100.008
951043_S;0;212;100.008
951044_N;0;281;48.276
951044_S;0;255;48.276
951046_E;0;304;48.276
951046_W;0;288;48.276
951048_N;0;128;100.008
951048_S;0;160;100.008
951050_N;0;3;79.992
951050_S;0;3;79.992
951052_N;0;104;48.276
951052_S;0;118;48.276
951054_E;0;2;50.004
951054_W;0;2;50.004
951055_E;0;2;50.004
951055_W;0;2;50.004
951056_E;0;64;50.004
951056_W;0;70;50.004
951057_E;0;38;48.276
951057_W;0;41;48.276
951058_E;0;14;50.004
951058_W;0;17;50.004
951060_E;0;28;50.004
951060_W;0;28;50.004
951062_E;0;73;48.276
951062_W;0;64;48.276
951064_E;0;6;32.184
951064_W;0;6;32.184
951066_N;0;11;48.276
951066_S;0;9;48.276
951067_N;0;17;50.004
951067_S;0;14;50.004
951068_E;0;27;50.004
951068_W;0;17;50.004
951070_N;0;51;50.004
951070_S;0;47;50.004
951072_E;0;9;50.004
951072_W;0;7;50.004
951074_E;0;53;50.004
951074_W;0;65;50.004
951076_E;0;132;50.004
951076_W;0;160;50.004
951080_E;0;59;32.184
951080_W;0;63;32.184
951082_E;0;25;32.184
951082_W;0;29;32.184
951084_N;0;17;50.004
951084_S;0;20;50.004
952020_N;0;16;48.276
952020_S;0;16;48.276
952021_W;0;72;20.016
952318_N;0;124;50.004
952318_S;0;70;50.004
967416_E;0;76;50.004
967416_W;0;56;50.004
967417_N;0;347;79.992
967417_S;0;353;79.992
967418_N;0;363;50.004
967418_S;0;348;50.004
971054_N;0;80;79.992
971054_S;0;100;79.992
990326_N;0;81;79.992
990326_S;0;52;79.992
990542_E;0;159;48.276
990542_W;0;241;48.276
990557_E;0;318;48.276
990557_W;0;364;48.276
99820_E;0;608;64.368
99820_S;0;1009;64.368
99821_N;0;681;48.276
99821_S;0;723;48.276
99822_N;0;363;48.276
99822_S;0;344;48.276
99823_E;0;523;100.008
99824_W;0;538;48.276
99825_E;0;582;48.276
99825_W;0;870;48.276
